count,density,presence,elev,slope,area,distance,pct.cover
0,0.0000,0,311,0.07,366,448.6,68
0,0.0000,0,294,0.05,383,319.6,47
5,0.0033,1,619,0.12,1504,125.8,65
18,0.0162,1,663,0.11,1111,238.5,87
8,0.0098,1,344,0.07,820,426.7,57
17,0.0137,1,288,0.05,1241,289.8,81
0,0.0000,0,171,0.04,778,401.2,17
0,0.0000,0,159,0.03,729,309.8,44
10,0.0092,1,560,0.14,1083,207.1,46
0,0.0000,0,224,0.03,530,305.8,55
0,0.0000,0,464,0.07,501,185.9,16
0,0.0000,0,351,0.06,252,267.5,78
0,0.0000,0,235,0.05,646,173.1,24
0,0.0000,0,515,0.09,459,256.3,22
13,0.0119,1,305,0.06,1097,330,13
4,0.0045,1,242,0.05,882,395.8,13
0,0.0000,0,315,0.07,728,333.7,40
0,0.0000,0,204,0.04,1094,196.9,67
0,0.0000,0,217,0.05,565,434.5,18
0,0.0000,0,96,0.02,919,182,51
0,0.0000,0,194,0.04,473,337.7,66
47,0.0302,1,650,0.13,1556,348.7,16
22,0.0154,1,381,0.06,1430,286,57
14,0.0100,1,305,0.06,1407,247.7,83
0,0.0000,0,365,0.07,786,245.4,55
0,0.0000,0,246,0.07,1116,143.3,78
17,0.0122,1,375,0.08,1397,235.2,58
13,0.0131,1,500,0.11,990,346,63
0,0.0000,0,385,0.08,544,309.4,71
27,0.0234,1,138,0.03,1154,437.7,90
13,0.0093,1,568,0.1,1391,253.9,42
39,0.0271,1,531,0.11,1440,416.9,81
0,0.0000,0,195,0.05,633,207.6,22
28,0.0199,1,365,0.06,1404,320,79
0,0.0000,0,238,0.06,1103,196.5,55
4,0.0040,1,283,0.06,1004,320.5,83
2,0.0017,1,181,0.04,1143,218.5,26
20,0.0144,1,265,0.04,1390,322.3,61
0,0.0000,0,275,0.06,475,299.6,88
0,0.0000,0,285,0.06,736,278.9,77
0,0.0000,0,550,0.13,617,247.6,37
17,0.0157,1,856,0.13,1083,225,73
0,0.0000,0,361,0.09,998,258.4,35
17,0.0145,1,170,0.05,1172,353.3,16
2,0.0021,1,299,0.07,974,265.7,47
23,0.0224,1,683,0.12,1027,366.2,66
30,0.0218,1,416,0.11,1375,359.1,66
9,0.0072,1,398,0.08,1257,227.4,27
25,0.0232,1,617,0.08,1078,430.3,61
13,0.0097,1,547,0.1,1336,160,87
0,0.0000,0,158,0.03,854,369.2,43
4,0.0042,1,334,0.08,957,294.8,19
21,0.0157,1,349,0.08,1340,269,91
0,0.0000,0,256,0.05,992,215.2,74
0,0.0000,0,308,0.11,991,36.1,55
12,0.0089,1,568,0.08,1346,274.2,15
0,0.0000,0,280,0.05,631,291.2,53
0,0.0000,0,172,0.05,747,395.9,32
0,0.0000,0,640,0.1,452,263.8,67
2,0.0016,1,442,0.14,1225,141.1,31
17,0.0163,1,515,0.15,1042,347.3,60
0,0.0000,0,401,0.07,508,124.6,47
23,0.0156,1,493,0.09,1477,213.2,81
5,0.0051,1,156,0.04,983,329.9,47
0,0.0000,0,146,0.06,586,355.8,45
9,0.0070,1,510,0.11,1284,147.8,23
1,0.0013,1,288,0.06,790,409.6,83
44,0.0288,1,262,0.06,1527,455,23
0,0.0000,0,425,0.07,620,204.3,14
9,0.0107,1,378,0.06,843,407.3,26
0,0.0000,0,177,0.03,495,527.2,22
26,0.0236,1,361,0.07,1101,404.6,57
45,0.0294,1,343,0.08,1533,374,86
46,0.0264,1,274,0.05,1741,345.1,50
20,0.0159,1,255,0.07,1260,349.8,15
11,0.0110,1,163,0.03,1000,411.1,55
0,0.0000,0,228,0.05,1016,191.9,52
25,0.0185,1,594,0.09,1354,315,22
32,0.0235,1,320,0.07,1362,379.4,62
0,0.0000,0,186,0.07,1231,70.1,78
0,0.0000,0,270,0.06,873,215.9,71
2,0.0018,1,222,0.05,1121,230.5,69
28,0.0257,1,309,0.05,1088,474.3,61
0,0.0000,0,256,0.05,337,316.6,46
35,0.0300,1,245,0.05,1168,469.3,66
0,0.0000,0,160,0.03,1198,143,17
12,0.0087,1,213,0.06,1377,234.6,49
5,0.0053,1,131,0.03,952,365.9,42
1,0.0008,1,189,0.04,1304,175.6,79
59,0.0317,1,276,0.06,1861,420.9,90
7,0.0054,1,151,0.03,1296,244.2,67
0,0.0000,0,269,0.05,492,368.2,74
6,0.0055,1,243,0.04,1090,283.8,57
56,0.0288,1,608,0.13,1947,304.9,64
10,0.0110,1,434,0.07,908,409.1,35
0,0.0000,0,309,0.07,526,425.3,17
0,0.0000,0,157,0.03,530,134.3,27
0,0.0000,0,269,0.07,584,321.2,30
0,0.0000,0,287,0.05,1080,177.6,60
38,0.0273,1,133,0.03,1391,454.1,78
15,0.0124,1,131,0.03,1207,321.9,59
2,0.0021,1,282,0.09,966,278.4,58
27,0.0162,1,259,0.05,1669,232.6,58
0,0.0000,0,256,0.05,912,294.3,22
2,0.0025,1,561,0.1,811,275.3,24
18,0.0137,1,415,0.09,1315,280,36
17,0.0087,1,211,0.04,1944,171.8,72
0,0.0000,0,145,0.03,313,310.5,74
1,0.0010,1,380,0.09,1029,191.9,48
23,0.0181,1,242,0.05,1269,381.6,44
32,0.0295,1,460,0.07,1083,442.3,75
34,0.0193,1,260,0.06,1761,310.9,83
10,0.0097,1,218,0.05,1029,354.3,72
7,0.0050,1,425,0.08,1398,155.9,57
0,0.0000,0,360,0.07,899,125.3,36
0,0.0000,0,936,0.15,493,226.5,31
1,0.0011,1,597,0.09,917,197.8,17
0,0.0000,0,49,0.01,740,354.5,88
0,0.0000,0,199,0.05,988,268,49
13,0.0114,1,173,0.03,1143,343.3,74
0,0.0000,0,292,0.05,625,426.7,75
10,0.0096,1,217,0.06,1045,411.7,91
7,0.0042,1,399,0.06,1661,101.3,23
1,0.0011,1,411,0.08,925,296.1,39
15,0.0139,1,412,0.07,1080,338,24
18,0.0185,1,349,0.08,971,446.2,88
0,0.0000,0,187,0.04,656,274.6,54
21,0.0165,1,459,0.08,1271,349.3,61
0,0.0000,0,376,0.09,513,231.7,79
3,0.0035,1,331,0.08,848,351.9,66
45,0.0254,1,201,0.05,1771,394.5,37
14,0.0159,1,585,0.09,883,462.9,23
12,0.0097,1,150,0.04,1243,321.2,14
3,0.0034,1,628,0.12,889,226.9,73
18,0.0123,1,181,0.03,1469,253.4,38
23,0.0153,1,550,0.07,1507,202,76
0,0.0000,0,167,0.03,584,350.8,76
33,0.0190,1,459,0.07,1734,263,14
9,0.0085,1,201,0.03,1060,344.2,39
30,0.0233,1,337,0.07,1289,341.4,76
12,0.0092,1,397,0.08,1298,212.1,83
0,0.0000,0,238,0.05,896,306.9,13
0,0.0000,0,257,0.05,1027,205.3,48
14,0.0092,1,230,0.04,1525,193.8,58
18,0.0119,1,259,0.05,1516,217.1,59
12,0.0087,1,165,0.03,1387,285.5,32
10,0.0072,1,135,0.03,1380,299.4,52
2,0.0018,1,200,0.04,1082,292.2,29
20,0.0188,1,271,0.06,1062,381.7,61
26,0.0202,1,387,0.08,1290,328.5,19
16,0.0127,1,209,0.05,1258,317.6,17
12,0.0084,1,221,0.05,1429,215.2,82
0,0.0000,0,474,0.08,683,242.4,51
12,0.0093,1,174,0.05,1297,276.8,60
0,0.0000,0,224,0.06,924,88.7,60
6,0.0055,1,316,0.05,1094,315.3,29
28,0.0199,1,746,0.11,1407,283.1,81
16,0.0149,1,439,0.09,1077,280.5,90
1,0.0013,1,260,0.07,781,421.6,53
16,0.0155,1,274,0.05,1034,432.7,41
5,0.0040,1,349,0.08,1261,180.6,90
0,0.0000,0,338,0.07,376,439.3,81
18,0.0194,1,260,0.06,929,455.6,28
28,0.0206,1,443,0.06,1357,371.6,68
38,0.0258,1,280,0.05,1475,446,63
0,0.0000,0,98,0.03,480,412.4,57
0,0.0000,0,202,0.04,758,430.3,73
3,0.0042,1,375,0.07,722,406.8,40
0,0.0000,0,255,0.06,858,328.9,57
0,0.0000,0,367,0.07,238,368.7,85
0,0.0000,0,367,0.06,979,173.1,60
2,0.0018,1,386,0.07,1127,180,21
16,0.0117,1,323,0.06,1363,220.4,37
16,0.0095,1,206,0.04,1680,193.3,40
16,0.0106,1,372,0.09,1504,245.2,46
77,0.0556,1,447,0.08,1384,688.6,25
11,0.0069,1,272,0.06,1603,167.8,32
0,0.0000,0,464,0.1,531,290.7,64
1,0.0012,1,195,0.04,848,403.1,87
4,0.0024,1,425,0.08,1687,90.9,64
0,0.0000,0,139,0.03,1091,118.7,33
32,0.0174,1,259,0.06,1838,298.3,65
0,0.0000,0,190,0.03,846,267,57
0,0.0000,0,266,0.08,856,286.7,87
0,0.0000,0,102,0.02,379,373.3,65
20,0.0164,1,758,0.1,1217,269.5,48
33,0.0252,1,358,0.07,1312,458.4,43
0,0.0000,0,214,0.05,593,298.7,84
0,0.0000,0,285,0.06,110,371.4,54
0,0.0000,0,267,0.06,816,369.4,14
0,0.0000,0,293,0.06,837,220.3,24
6,0.0041,1,144,0.03,1477,196,24
0,0.0000,0,476,0.1,655,349.2,80
0,0.0000,0,299,0.06,926,206.8,90
9,0.0067,1,325,0.06,1353,184.9,59
5,0.0045,1,359,0.08,1112,256.6,75
40,0.0236,1,241,0.05,1692,381.1,64
7,0.0051,1,425,0.07,1373,168.6,48
25,0.0193,1,271,0.05,1294,311.9,46
46,0.0310,1,342,0.06,1484,449.2,61
0,0.0000,0,285,0.05,624,279.5,85
13,0.0105,1,179,0.03,1234,277.8,66
45,0.0272,1,172,0.04,1652,410.8,71
1,0.0012,1,363,0.07,860,286.9,22
12,0.0127,1,293,0.05,948,408.5,22
0,0.0000,0,135,0.03,472,303.2,72
32,0.0177,1,228,0.04,1811,295.3,71
0,0.0000,0,288,0.05,587,414.4,37
0,0.0000,0,336,0.07,451,379.4,47
0,0.0000,0,282,0.06,761,279.3,57
18,0.0165,1,195,0.04,1092,454.3,85
0,0.0000,0,296,0.05,532,354,37
33,0.0230,1,376,0.07,1432,366,49
0,0.0000,0,311,0.05,794,260.2,77
36,0.0251,1,210,0.04,1435,400.7,77
7,0.0095,1,267,0.06,733,613.6,82
7,0.0079,1,311,0.07,887,374.5,66
26,0.0202,1,131,0.03,1288,399.3,68
0,0.0000,0,339,0.06,478,308.7,64
0,0.0000,0,328,0.06,633,354,87
48,0.0274,1,280,0.05,1750,387.3,88
53,0.0382,1,499,0.09,1386,540.5,25
6,0.0059,1,430,0.09,1021,280.2,24
0,0.0000,0,606,0.09,470,247.8,51
0,0.0000,0,462,0.08,235,321,14
27,0.0174,1,350,0.07,1553,262.9,30
18,0.0157,1,265,0.06,1144,390.4,42
2,0.0025,1,328,0.06,816,335.8,78
0,0.0000,0,408,0.07,933,148.3,47
4,0.0044,1,533,0.1,900,223.6,35
0,0.0000,0,238,0.05,945,165.8,72
21,0.0133,1,272,0.04,1578,305.4,48
16,0.0150,1,368,0.06,1064,368.2,31
3,0.0032,1,606,0.1,932,204.5,56
0,0.0000,0,164,0.03,668,318.1,37
23,0.0195,1,326,0.05,1178,386.9,73
48,0.0280,1,356,0.07,1716,375.6,21
25,0.0190,1,139,0.03,1316,413.3,41
0,0.0000,0,126,0.03,747,421.4,39
28,0.0224,1,281,0.07,1251,499.1,31
37,0.0277,1,554,0.08,1338,406.4,16
32,0.0154,1,427,0.09,2078,187.3,31
0,0.0000,0,391,0.08,753,290.3,19
0,0.0000,0,177,0.03,790,335.6,46
0,0.0000,0,244,0.04,861,319.3,87
9,0.0061,1,328,0.07,1483,134.7,17
0,0.0000,0,70,0.03,916,325.7,55
6,0.0062,1,250,0.09,964,333.1,60
0,0.0000,0,219,0.05,793,313,63
23,0.0212,1,453,0.1,1085,437.2,52
27,0.0221,1,204,0.04,1224,545.6,81
0,0.0000,0,356,0.06,563,297,33
2,0.0023,1,288,0.05,869,336.2,84
0,0.0000,0,548,0.14,449,264,39
4,0.0037,1,287,0.04,1084,235.6,85
